expected_return,volatility,ALPHA,BETA,GAMMA,DELTA
0.000749,0.001983,0.00,0.00,0.00,1.00
0.000744,0.001787,0.00,0.00,0.10,0.90
0.000739,0.001751,0.00,0.00,0.20,0.80
0.000734,0.001883,0.00,0.00,0.30,0.70
0.000729,0.002154,0.00,0.00,0.40,0.60
0.000724,0.002518,0.00,0.00,0.50,0.50
0.000719,0.002941,0.00,0.00,0.60,0.40
0.000714,0.003401,0.00,0.00,0.70,0.30
0.000709,0.003885,0.00,0.00,0.80,0.20
0.000704,0.004385,0.00,0.00,0.90,0.10
0.000699,0.004897,0.00,0.00,1.00,0.00
0.000749,0.001960,0.00,0.10,0.00,0.90
0.000744,0.001785,0.00,0.10,0.10,0.80
0.000740,0.001773,0.00,0.10,0.20,0.70
0.000735,0.001925,0.00,0.10,0.30,0.60
0.000730,0.002209,0.00,0.10,0.40,0.50
0.000725,0.002581,0.00,0.10,0.50,0.40
0.000720,0.003009,0.00,0.10,0.60,0.30
0.000715,0.003472,0.00,0.10,0.70,0.20
0.000710,0.003958,0.00,0.10,0.80,0.10
0.000705,0.004460,0.00,0.10,0.90,0.00
0.000750,0.001942,0.00,0.20,0.00,0.80
0.000745,0.001789,0.00,0.20,0.10,0.70
0.000740,0.001800,0.00,0.20,0.20,0.60
0.000735,0.001971,0.00,0.20,0.30,0.50
0.000730,0.002268,0.00,0.20,0.40,0.40
0.000725,0.002647,0.00,0.20,0.50,0.30
0.000720,0.003079,0.00,0.20,0.60,0.20
0.000715,0.003545,0.00,0.20,0.70,0.10
0.000710,0.004032,0.00,0.20,0.80,0.00
0.000750,0.001930,0.00,0.30,0.00,0.70
0.000745,0.001799,0.00,0.30,0.10,0.60
0.000740,0.001832,0.00,0.30,0.20,0.50
0.000735,0.002021,0.00,0.30,0.30,0.40
0.000730,0.002329,0.00,0.30,0.40,0.30
0.000725,0.002715,0.00,0.30,0.50,0.20
0.000720,0.003151,0.00,0.30,0.60,0.10
0.000715,0.003619,0.00,0.30,0.70,0.00
0.000750,0.001922,0.00,0.40,0.00,0.60
0.000745,0.001814,0.00,0.40,0.10,0.50
0.000741,0.001869,0.00,0.40,0.20,0.40
0.000736,0.002075,0.00,0.40,0.30,0.30
0.000731,0.002393,0.00,0.40,0.40,0.20
0.000726,0.002785,0.00,0.40,0.50,0.10
0.000721,0.003225,0.00,0.40,0.60,0.00
0.000751,0.001920,0.00,0.50,0.00,0.50
0.000746,0.001834,0.00,0.50,0.10,0.40
0.000741,0.001910,0.00,0.50,0.20,0.30
0.000736,0.002132,0.00,0.50,0.30,0.20
0.000731,0.002459,0.00,0.50,0.40,0.10
0.000726,0.002857,0.00,0.50,0.50,0.00
0.000751,0.001923,0.00,0.60,0.00,0.40
0.000746,0.001859,0.00,0.60,0.10,0.30
0.000741,0.001956,0.00,0.60,0.20,0.20
0.000736,0.002192,0.00,0.60,0.30,0.10
0.000731,0.002528,0.00,0.60,0.40,0.00
0.000751,0.001931,0.00,0.70,0.00,0.30
0.000746,0.001890,0.00,0.70,0.10,0.20
0.000742,0.002006,0.00,0.70,0.20,0.10
0.000737,0.002255,0.00,0.70,0.30,0.00
0.000752,0.001944,0.00,0.80,0.00,0.20
0.000747,0.001925,0.00,0.80,0.10,0.10
0.000742,0.002059,0.00,0.80,0.20,0.00
0.000752,0.001963,0.00,0.90,0.00,0.10
0.000747,0.001964,0.00,0.90,0.10,0.00
0.000752,0.001986,0.00,1.00,0.00,0.00
0.000818,0.002246,0.10,0.00,0.00,0.90
0.000814,0.002037,0.10,0.00,0.10,0.80
0.000809,0.001965,0.10,0.00,0.20,0.70
0.000804,0.002046,0.10,0.00,0.30,0.60
0.000799,0.002262,0.10,0.00,0.40,0.50
0.000794,0.002580,0.10,0.00,0.50,0.40
0.000789,0.002968,0.10,0.00,0.60,0.30
0.000784,0.003401,0.10,0.00,0.70,0.20
0.000779,0.003865,0.10,0.00,0.80,0.10
0.000774,0.004349,0.10,0.00,0.90,0.00
0.000819,0.002221,0.10,0.10,0.00,0.80
0.000814,0.002030,0.10,0.10,0.10,0.70
0.000809,0.001979,0.10,0.10,0.20,0.60
0.000804,0.002079,0.10,0.10,0.30,0.50
0.000799,0.002310,0.10,0.10,0.40,0.40
0.000794,0.002638,0.10,0.10,0.50,0.30
0.000789,0.003032,0.10,0.10,0.60,0.20
0.000784,0.003469,0.10,0.10,0.70,0.10
0.000779,0.003936,0.10,0.10,0.80,0.00
0.000819,0.002201,0.10,0.20,0.00,0.70
0.000814,0.002029,0.10,0.20,0.10,0.60
0.000809,0.001998,0.10,0.20,0.20,0.50
0.000804,0.002117,0.10,0.20,0.30,0.40
0.000799,0.002362,0.10,0.20,0.40,0.30
0.000794,0.002699,0.10,0.20,0.50,0.20
0.000789,0.003099,0.10,0.20,0.60,0.10
0.000784,0.003539,0.10,0.20,0.70,0.00
0.000819,0.002185,0.10,0.30,0.00,0.60
0.000815,0.002032,0.10,0.30,0.10,0.50
0.000810,0.002022,0.10,0.30,0.20,0.40
0.000805,0.002159,0.10,0.30,0.30,0.30
0.000800,0.002417,0.10,0.30,0.40,0.20
0.000795,0.002762,0.10,0.30,0.50,0.10
0.000790,0.003167,0.10,0.30,0.60,0.00
0.000820,0.002174,0.10,0.40,0.00,0.50
0.000815,0.002040,0.10,0.40,0.10,0.40
0.000810,0.002051,0.10,0.40,0.20,0.30
0.000805,0.002204,0.10,0.40,0.30,0.20
0.000800,0.002474,0.10,0.40,0.40,0.10
0.000795,0.002827,0.10,0.40,0.50,0.00
0.000820,0.002167,0.10,0.50,0.00,0.40
0.000815,0.002053,0.10,0.50,0.10,0.30
0.000810,0.002084,0.10,0.50,0.20,0.20
0.000805,0.002253,0.10,0.50,0.30,0.10
0.000800,0.002534,0.10,0.50,0.40,0.00
0.000820,0.002165,0.10,0.60,0.00,0.30
0.000816,0.002071,0.10,0.60,0.10,0.20
0.000811,0.002121,0.10,0.60,0.20,0.10
0.000806,0.002306,0.10,0.60,0.30,0.00
0.000821,0.002167,0.10,0.70,0.00,0.20
0.000816,0.002093,0.10,0.70,0.10,0.10
0.000811,0.002162,0.10,0.70,0.20,0.00
0.000821,0.002174,0.10,0.80,0.00,0.10
0.000816,0.002120,0.10,0.80,0.10,0.00
0.000821,0.002186,0.10,0.90,0.00,0.00
0.000888,0.002553,0.20,0.00,0.00,0.80
0.000883,0.002337,0.20,0.00,0.10,0.70
0.000878,0.002239,0.20,0.00,0.20,0.60
0.000873,0.002276,0.20,0.00,0.30,0.50
0.000868,0.002440,0.20,0.00,0.40,0.40
0.000863,0.002708,0.20,0.00,0.50,0.30
0.000858,0.003054,0.20,0.00,0.60,0.20
0.000853,0.003453,0.20,0.00,0.70,0.10
0.000848,0.003891,0.20,0.00,0.80,0.00
0.000888,0.002527,0.20,0.10,0.00,0.70
0.000883,0.002327,0.20,0.10,0.10,0.60
0.000878,0.002247,0.20,0.10,0.20,0.50
0.000873,0.002301,0.20,0.10,0.30,0.40
0.000868,0.002480,0.20,0.10,0.40,0.30
0.000863,0.002760,0.20,0.10,0.50,0.20
0.000858,0.003113,0.20,0.10,0.60,0.10
0.000853,0.003518,0.20,0.10,0.70,0.00
0.000889,0.002505,0.20,0.20,0.00,0.60
0.000884,0.002321,0.20,0.20,0.10,0.50
0.000879,0.002259,0.20,0.20,0.20,0.40
0.000874,0.002331,0.20,0.20,0.30,0.30
0.000869,0.002524,0.20,0.20,0.40,0.20
0.000864,0.002814,0.20,0.20,0.50,0.10
0.000859,0.003174,0.20,0.20,0.60,0.00
0.000889,0.002487,0.20,0.30,0.00,0.50
0.000884,0.002319,0.20,0.30,0.10,0.40
0.000879,0.002276,0.20,0.30,0.20,0.30
0.000874,0.002365,0.20,0.30,0.30,0.20
0.000869,0.002572,0.20,0.30,0.40,0.10
0.000864,0.002871,0.20,0.30,0.50,0.00
0.000889,0.002473,0.20,0.40,0.00,0.40
0.000884,0.002322,0.20,0.40,0.10,0.30
0.000879,0.002297,0.20,0.40,0.20,0.20
0.000874,0.002402,0.20,0.40,0.30,0.10
0.000869,0.002622,0.20,0.40,0.40,0.00
0.000890,0.002463,0.20,0.50,0.00,0.30
0.000885,0.002329,0.20,0.50,0.10,0.20
0.000880,0.002322,0.20,0.50,0.20,0.10
0.000875,0.002443,0.20,0.50,0.30,0.00
