t,filtered_x,filtered_y,smoothed_x,smoothed_y,dropout_x,dropout_y
0.0,1.418351,-0.753093,1.334257,-0.781608,3.120000,0.800000
1.0,3.777955,1.262510,3.829467,1.524027,4.229599,1.601175
2.0,6.391078,3.515103,6.364857,3.905464,6.654849,3.689193
3.0,9.083388,5.883303,8.897805,6.347556,9.259635,5.997299
4.0,11.777209,8.325796,11.393067,8.828547,11.895961,8.405886
5.0,14.417506,10.814788,13.827461,11.323177,14.498433,10.705852
6.0,16.964774,13.324204,16.192310,13.804784,16.997465,13.299247
7.0,19.397145,15.826138,18.493403,16.246741,19.395694,15.833837
8.0,21.711293,18.292450,20.749635,18.623349,21.692748,18.309825
9.0,23.922821,20.695123,22.990094,20.911407,23.899504,20.712422
10.0,26.064138,23.007880,25.250309,23.090930,26.534115,22.817058
11.0,28.180552,25.207610,27.568310,25.146146,28.382457,25.109444
12.0,30.324033,27.275225,29.979876,27.066033,30.410771,27.218423
13.0,32.549308,29.196449,32.515133,28.845089,32.587855,29.160063
14.0,34.905688,30.963733,35.194913,30.483449,34.924808,30.938812
15.0,37.432823,32.575484,38.028420,31.987036,37.612141,32.649503
16.0,40.156946,34.036341,41.012546,33.366925,40.279522,34.044259
17.0,43.087592,35.357467,44.132262,34.638761,43.189351,35.339251
18.0,46.216862,36.555797,47.362199,35.822407,46.302414,36.530392
19.0,49.520262,37.652881,50.669369,36.940600,49.588751,37.628890
20.0,52.958924,38.673950,54.016749,38.017645,52.461849,38.992197
21.0,56.485177,39.647044,57.367309,39.078555,56.285014,39.782098
22.0,60.047152,40.600973,60.688107,40.147597,59.970682,40.658682
23.0,63.593256,41.564595,63.953583,41.247123,63.565902,41.589342
24.0,67.079035,42.565188,67.147923,42.396987,67.069445,42.576160
25.0,70.471196,43.626483,70.267112,43.613200,70.175761,43.844303
26.0,73.751186,44.768678,73.318749,44.907404,73.586636,44.884319
27.0,76.916016,46.007298,76.321069,46.286941,76.802321,46.078965
28.0,79.979323,47.351805,79.300643,47.754390,79.893665,47.400704
29.0,82.969075,48.806572,82.289552,49.307721,82.904385,48.841302
30.0,85.924017,50.370389,85.321407,50.941244,86.213438,50.257365
31.0,88.888794,52.037226,88.427259,52.646000,89.005309,52.008140
32.0,91.909241,53.796589,91.632502,54.410431,91.952853,53.802151
33.0,95.026893,55.634897,94.953602,56.221675,95.042149,55.651765
34.0,98.273896,57.536055,98.396578,58.066547,98.279423,57.553799
35.0,101.670236,59.482475,101.956200,59.932220,101.783025,59.202640
36.0,105.219772,61.457843,105.616634,61.807497,105.299324,61.334768
37.0,108.911349,63.445975,109.353100,63.683644,108.977414,63.387990
38.0,112.719995,65.434091,113.134984,65.554548,112.774571,65.404300
39.0,116.609162,67.411646,116.929389,67.417526,116.651807,67.394663
40.0,120.535035,69.372278,120.704826,69.273117,120.309160,69.254334
41.0,124.452055,71.314066,124.434880,71.125319,124.353049,71.248712
42.0,128.318035,73.238416,128.101391,72.980910,128.268062,73.193357
43.0,132.098637,75.150854,131.696544,74.848771,132.068137,75.116953
44.0,135.773144,77.059578,135.224205,76.739166,135.751546,77.033947
45.0,139.334919,78.975852,138.699552,78.663096,139.456896,79.091792
46.0,142.794025,80.911935,142.147230,80.631225,142.823270,80.958806
47.0,146.175799,82.880566,145.599279,82.652841,146.162824,82.896164
48.0,149.519321,84.892971,149.091448,84.734701,149.492708,84.895785
49.0,152.871872,86.959271,152.659096,86.880599,152.845438,86.957832
50.0,156.284673,89.086102,156.333196,89.090802,156.583435,89.200506
51.0,159.807547,91.277000,160.136677,91.361414,159.958686,91.338356
52.0,163.483334,93.530690,164.081581,93.684560,163.575649,93.568814
53.0,167.343589,95.841627,168.167578,96.047973,167.408547,95.867896
54.0,171.403838,98.199280,172.380818,98.435921,171.452371,98.218227
55.0,175.662788,100.589259,176.694659,100.829752,175.357737,100.520874
56.0,180.102456,102.993250,181.071777,103.209156,180.004975,102.970580
57.0,184.689208,105.391185,185.466858,105.554000,184.681294,105.389166
58.0,189.377040,107.760045,189.830165,107.846776,189.401091,107.765810
59.0,194.113017,110.076783,194.113017,110.076783,194.142780,110.084160
